"ID","SPECIES","x","y","dbh"
71,CO,141.6,19.5,44.7
72,CO,102.9,20.1,52.1
73,RO,136.2,25.0,47.3
74,RO,124.5,21.3,46.8
75,RO,127.1,32.8,54.1
76,RO,118.3,26.8,51.3
77,RO,115.2,32.2,40.0
78,RO,110.9,28.0,61.1
79,RO,99.7,28.0,76.6
80,RO,92.3,23.8,40.5
81,RO,94.5,32.8,22.9
82,RO,78.5,27.7,60.1
83,RO,78.3,27.3,40.5
84,RO,77.0,18.9,45.5
85,RO,94.8,49.1,50.9
86,RO,79.9,49.2,36.5
87,CO,85.9,39.0,56.1
88,RO,106.4,46.8,49.5
89,RO,106.4,46.5,50.2
90,WO,107.3,37.5,47.0
91,RO,114.1,46.9,52.3
92,RO,117.2,43.0,42.9
93,CO,123.3,43.7,56.8
94,RO,122.1,49.1,47.5
95,CO,138.1,36.3,38.9
96,RO,145.7,35.7,66.6
97,RO,144.5,59.3,63.0
98,RO,138.8,57.0,45.2
99,RO,138.8,56.1,47.1
100,RO,131.4,59.7,48.8
101,CO,132.7,55.2,38.3
102,CO,128.0,51.4,6.0
103,RO,124.5,53.2,45.0
104,WO,122.2,60.0,19.0
105,RO,123.1,62.3,54.2
106,RO,117.3,62.6,36.8
107,RO,117.3,52.7,36.7
108,RO,110.9,54.3,37.6
109,RO,125.7,54.7,45.0
110,RO,102.6,52.4,41.3
111,RO,107.1,60.2,51.3
112,RO,101.8,63.5,49.5
113,RO,97.4,63.4,32.1
114,RO,97.2,63.4,34.0
115,RO,91.6,61.6,52.0
116,RO,87.3,71.2,33.5
117,RO,96.5,74.4,50.3
118,RO,106.7,70.7,52.3
119,WO,108.5,74.1,5.9
120,RO,112.2,72.8,38.8
121,RO,112.2,73.5,38.4
122,RO,115.8,74.1,32.9
123,CO,125.0,70.1,5.2
124,CO,126.9,70.7,10.7
125,RO,128.3,73.5,58.1
126,WO,129.4,71.9,7.6
127,RO,130.9,68.0,32.8
128,WO,130.8,74.4,6.7
129,WO,134.6,71.0,7.7
130,WO,134.6,70.7,8.4
131,RO,135.9,70.1,51.6
132,RO,138.2,71.2,49.0
133,CO,147.2,76.2,32.7
134,WO,146.3,72.2,53.0
135,CO,147.2,69.5,20
136,O,149.5,35.7,35.8
137,O,147.4,28.3,42.3
138,O,150.7,8.2,58.1
139,O,146.3,0.6,52.3
140,BO,155.4,1.5,42.0
141,RO,157.6,1.8,47.9
142,CO,158.2,6.4,23.0
143,CO,158.2,9.0,17.3
144,CO,159.4,11.1,27.3
145,CO,160.3,12.0,27.9
146,CO,157.9,12.8,13.5
147,CO,160.6,16.5,37.4
148,CO,162.2,13.3,22.5
149,WO,162.8,15.2,64.4
150,WO,164.0,8.8,30.3
151,RO,173.4,13.0,33.7
152,CO,174.0,15.2,52.1
153,RO,176.8,23.5,37.2
154,CO,168.2,19.5,37.2
155,WO,163.4,19.5,22.1
156,CO,162.8,23.5,42.3
157,BO,154.2,26.2,37.8
158,RO,157.4,27.1,24.1
159,RO,180.7,27.1,30.8
160,BO,163.1,35.4,29.7
161,CO,164.6,38.4,36.9
162,WO,167.0,38.7,43.1
163,WO,174.0,48.2,54.9
164,RO,163.4,50.3,25.7
165,RO,159.3,49.7,36.2
166,RO,155.0,54.9,29.7
167,WO,156.5,58.8,33.4
168,WO,162.0,57.6,50.1
169,WO,163.1,53.8,27.8
170,CO,172.8,21.5,31.0
171,RO,174.3,56.8,36.6
172,CO,182.3,60.7,33.0
173,CO,182.3,57.0,42.5
174,CO,169.2,58.1,26.1
175,RO,171.0,6.1,29.1
176,WO,159.1,59.1,37.4
177,RO,158.5,65.8,46.2
178,WO,153.0,71.3,47.0
179,CO,159.1,75.1,22.7
180,CO,162.2,75.1,31.5
181,WO,161.2,71.0,47.0
182,CO,166.6,71.9,10.8
183,WO,170.2,73.8,44.1
184,O,175.0,73.1,61.3
185,CO,176.8,72.5,43.7
186,RO,186.5,23.2,59.9
187,RO,185.9,22.6,53.9
188,CO,192.0,69.8,42.6
189,RO,190.2,61.0,45.9
190,RO,197.7,57.3,23.8
191,CO,192.3,54.3,43.2
192,RO,185.8,45.4,39.6
193,RO,184.7,45.7,34.1
194,CO,185.6,43.0,46.5
195,RO,196.6,42.8,29.6
196,RO,195.4,46.9,42.3
197,CO,197.1,46.8,29.1
198,CO,202.8,42.7,33.8
199,WO,195.7,28.6,58.4
200,CO,194.2,27.9,23.2
201,O,176.5,19.7,0.0
202,CO,194.0,27.3,14.7
203,CO,194.6,27.3,12.8
204,O,165.8,75.3,0.0
205,RO,189.6,22.1,23.4
206,RO,183.2,19.8,28.2
207,CO,186.7,15.8,43.9
208,WO,205.7,5.6,54.5
209,RO,204.4,11.6,33.2
210,RO,173.9,4.0,39.2
211,CO,197.8,21.9,35.4
212,WO,210.6,15.5,28.9
213,RO,218.2,1.8,47.2
214,RO,226.3,0.6,40.9
215,WO,226.6,7.5,27.1
216,CO,152.4,0.0,37.3
217,RO,224.9,40.4,11.4
218,RO,219.8,41.8,44.9
219,CO,211.8,38.7,33.4
220,RO,208.8,34.1,27.0
221,CO,206.3,36.4,31.9
222,CO,205.4,36.4,22.5
223,CO,206.0,38.9,18.3
224,CO,211.2,42.7,20.2
225,WO,208.0,46.6,31.9
226,CO,211.2,51.5,23.5
227,CO,206.3,58.2,38.2
228,O,190.5,61.1,32.7
229,RO,203.6,65.2,34.8
230,CO,207.3,64.9,44.4
231,RO,204.2,73.8,29.1
232,RO,214.1,62.0,33.4
233,CO,211.8,59.6,28.9
234,RO,218.4,61.6,49.3
235,RO,221.6,57.0,27.9
236,CO,224.3,51.2,45.8
237,RO,226.0,47.2,47.0
238,CO,223.9,72.1,17.9
239,CO,224.0,73.5,31.8
240,CO,228.7,75.3,25.8
241,CO,213.4,77.1,38.8
242,RO,219.8,75.3,35.6
243,RO,219.8,73.6,16.3
244,WO,208.2,11.0,24.0
245,CO,217.3,48.6,19.3
246,CO,152.4,0.0,20.9
247,CO,152.4,0.0,18.5
248,CO,210.0,72.7,21.5
249,WO,152.4,0.0,0.0
250,RO,302.4,1.5,60.6
251,CO,293.5,3.7,47.8
252,CO,289.9,9.8,40.3
253,RO,282.9,9.4,45.5
254,BO,259.7,11.6,51.0
255,CO,274.6,3.7,27.3
256,CO,260.6,4.9,30.0
257,RO,257.2,1.2,30.9
258,CO,248.4,3.0,16.8
259,RO,238.7,1.2,36.5
260,RO,234.2,2.7,44.6
261,CO,231.3,18.3,34.2
262,RO,233.8,19.2,44.4
263,RO,231.0,26.2,58.2
264,WO,236.5,28.6,29.7
265,RO,242.3,23.9,35.5
266,RO,255.0,19.5,38.6
267,CO,256.0,19.2,42.0
268,CO,258.2,20.7,35.8
269,CO,259.8,13.4,36.8
270,CO,260.6,17.1,37.2
271,RO,263.7,13.4,19.2
272,CO,260.9,24.1,41.7
273,RO,264.0,25.1,53.3
274,CO,264.3,26.5,51.7
275,CO,287.1,15.2,41.2
276,CO,279.8,18.0,38.8
277,RO,288.0,11.0,45.5
278,CO,294.1,20.4,44.2
279,CO,286.8,21.0,55.2
280,CO,292.0,26.5,44.8
281,CO,296.0,30.8,36.4
282,CO,285.0,29.9,40.1
283,RO,283.8,36.6,51.0
284,CO,275.1,35.4,37.7
285,CO,274.9,29.9,40.1
286,RO,269.1,39.6,46.2
287,RO,261.2,38.4,48.5
288,RO,255.0,42.4,43.7
289,CO,249.9,36.3,42.6
290,CO,249.9,29.3,34.3
291,CO,250.8,29.3,28.2
292,CO,245.7,35.8,33.3
293,WO,241.7,36.0,32.5
294,RO,243.5,38.1,50.5
295,RO,245.7,47.4,46.4
296,CO,241.7,47.9,33.0
297,RO,238.4,43.6,28.6
298,BO,236.5,42.1,42.5
299,CO,232.3,47.2,36.1
300,CO,235.0,53.2,27.9
301,CO,235.3,55.5,54.9
302,CO,240.2,55.0,28.8
303,CO,241.4,56.1,35.0
304,CO,244.9,54.9,34.8
305,RO,243.5,58.5,36.3
306,RO,233.5,63.1,30.7
307,RO,262.7,70.9,24.0
308,CO,239.3,73.5,30.3
309,RO,243.8,72.8,29.2
310,RO,242.9,66.9,23.6
311,CO,240.2,67.4,15.0
312,RO,243.5,64.9,20.2
313,CO,250.2,75.3,17.2
314,RO,246.9,76.5,30.5
315,CO,248.4,67.1,48.5
316,RO,251.2,66.1,39.9
317,CO,250.8,62.5,54.0
318,CO,256.9,65.7,35.2
319,RO,255.7,75.6,9.7
320,RO,253.3,77.4,4.7
321,RO,256.0,0.3,10.4
322,RO,261.4,74.7,6.6
323,BO,269.1,69.5,50.2
324,CO,267.6,67.1,8.4
325,CO,264.6,65.8,15.4
326,RO,264.9,63.7,48.2
327,RO,263.8,50.6,26.5
328,BO,265.5,53.0,48.0
329,RO,271.9,60.0,46.9
330,CO,274.6,68.4,49.3
331,CO,275.5,66.7,39.6
332,RO,277.7,58.5,47.6
333,RO,280.7,50.0,54.5
334,BO,275.7,53.3,48.8
335,RO,288.6,46.3,37.8
336,RO,296.6,47.2,49.4
337,RO,303.1,42.1,82.3
338,RO,303.0,68.9,44.3
339,RO,303.0,68.6,31.7
340,RO,303.0,68.3,51.2
341,RO,294.4,61.6,48.1
342,RO,294.3,61.6,52.6
343,RO,293.2,69.2,47.3
344,WO,280.7,74.7,13.1
345,CO,253.9,75.9,5.2
346,RO,285.0,68.9,52.0
347,RO,285.0,61.9,47.8
348,CO,249.6,0.5,38.7
349,CO,267.0,0.5,32.3
350,WO,6.2,81.7,26.5
351,WO,17.7,88.4,47.1
352,WO,17.7,88.1,46.1
353,RO,21.8,79.9,49.3
354,RO,24.1,78.8,52.6
355,RO,41.1,83.4,42.4
356,RO,5.5,128.9,56.8
357,RO,10.7,134.9,54.6
358,RO,14.2,139.1,39.8
359,CO,41.1,114.0,30.3
360,RO,23.8,148.4,56.2
361,RO,14.9,136.4,46.5
362,RO,14.3,136.4,47.2
363,RO,14.3,135.9,50.7
364,RO,27.0,98.1,62.3
365,CO,24.7,102.0,40.9
366,CO,18.3,98.6,40.0
367,RO,36.3,110.6,55.9
368,WO,30.8,146.6,59.8
369,RO,38.4,138.2,65.7
370,RO,47.5,118.0,47.4
371,RO,27.4,121.6,50.3
372,RO,3.5,98.3,51.8
373,RO,13.6,101.2,48.2
374,WO,11.3,111.2,33.5
375,RO,16.3,112.3,52.7
376,RO,11.6,120.4,44.7
377,RO,12.0,120.4,49.8
378,RO,11.7,120.7,52.4
379,RO,3.8,129.8,17.8
380,RO,4.3,135.2,66.1
381,RO,19.2,123.6,58.4
382,CO,20.1,122.1,13.7
383,CO,51.7,118.3,49.1
384,RO,44.3,149.0,67.4
385,RO,46.5,147.4,80.8
386,CO,50.0,146.1,11.5
387,CO,52.0,144.0,16.2
388,CO,68.9,129.5,31.4
389,RO,60.5,130.6,37.0
390,RO,60.0,130.8,43.9
391,RO,59.6,81.4,35.1
392,RO,60.0,128.6,52.3
393,RO,60.3,113.7,41.7
394,RO,31.4,134.3,54.1
395,RO,25.8,130.4,52.5
396,RO,16.5,142.2,50.8
397,RO,9.3,137.0,52.5
398,RO,9.1,149.6,72.6
399,CO,8.8,151.0,24.0
400,RO,22.1,147.4,44.9
401,RO,22.1,147.1,49.1
402,CO,66.7,105.3,52.2
403,RO,68.3,115.2,55.1
404,WO,73.6,121.5,46.7
405,RO,70.6,144.5,45.5
406,RO,7.6,94.2,45.5
407,BO,6.9,114.8,20
408,BO,6.9,114.3,20
409,RO,151.8,85.0,37.0
410,WO,143.2,89.9,33.0
411,RO,137.9,84.4,48.6
412,RO,107.0,83.2,46.8
413,RO,120.2,83.2,42.9
414,WO,116.9,79.2,6.5
415,RO,115.5,84.7,56.6
416,RO,107.6,84.0,42.6
417,RO,102.7,80.8,54.9
418,RO,98.9,87.9,46.2
419,WO,91.1,80.0,56.2
420,RO,78.6,81.4,40.8
421,RO,83.5,100.1,35.4
422,RO,96.6,100.3,45.4
423,WO,103.6,91.4,40.3
424,RO,110.3,93.7,40.3
425,RO,116.4,93.4,54.6
426,RO,116.4,92.3,35.1
427,RO,122.2,97.2,33.4
428,CO,121.2,81.2,7.0
429,RO,128.3,90.7,38.1
430,WO,130.8,92.2,4.5
431,WO,130.1,98.3,32.8
432,SWO,135.3,91.7,54.0
433,RO,142.9,96.0,25.6
434,WO,152.1,101.2,39.3
435,RO,150.9,109.1,48.7
436,RO,150.3,114.9,58.3
437,CO,145.1,110.3,34.6
438,RO,141.1,113.7,64.8
439,RO,140.2,102.3,45.4
440,RO,134.4,98.8,64.5
441,RO,125.0,109.4,65.1
442,RO,124.7,111.4,63.3
443,RO,131.1,106.7,37.0
444,RO,115.5,103.8,49.5
445,RO,114.8,104.7,48.4
446,CO,111.2,104.7,6.6
447,RO,108.5,97.8,34.7
448,RO,113.2,117.3,31.3
449,RO,113.5,118.0,39.8
450,WO,103.8,116.3,42.8
451,WO,98.1,120.7,62.5
452,RO,77.7,109.4,54.2
453,RO,81.2,132.9,44.5
454,RO,86.6,121.9,26.2
455,RO,89.3,137.6,34.9
456,RO,89.3,138.2,40.0
457,RO,89.9,138.2,40.6
458,RO,95.7,135.9,56.8
459,RO,95.6,135.0,44.5
460,WO,96.6,125.6,25.8
461,RO,100.6,130.8,36.6
462,RO,106.1,130.4,40.6
463,RO,111.2,121.6,53.8
464,RO,123.4,128.6,40.8
465,RO,124.0,128.6,45.7
466,CO,124.4,128.6,7.0
467,CO,124.4,131.4,33.3
468,CO,124.8,131.4,36.4
469,RO,127.6,126.3,36.3
470,RO,128.0,126.3,40.7
471,RO,134.4,123.1,43.2
472,RO,134.7,131.4,44.9
473,RO,139.9,123.4,42.4
474,RO,140.8,123.4,52.5
475,WO,147.8,132.1,32.1
476,WO,148.0,131.4,40.3
477,WO,166.7,144.2,48.4
478,RO,138.7,143.2,38.2
479,RO,137.6,132.6,35.3
480,RO,138.2,130.4,39.3
481,RO,132.0,129.5,39.7
482,RO,132.9,134.3,22.6
483,RO,132.3,143.6,50.0
484,RO,132.3,144.6,56.2
485,RO,126.8,142.5,52.1
486,RO,129.8,152.1,57.3
487,RO,122.5,134.7,26.3
488,RO,110.6,144.2,51.0
489,RO,107.3,142.6,37.9
490,RO,103.3,142.9,42.9
491,RO,102.7,147.5,44.8
492,RO,89.0,146.6,47.3
493,RO,84.4,147.5,43.2
494,RO,83.2,150.6,40.7
495,RO,82.6,151.5,40.3
496,RO,82.3,137.6,43.2
497,CO,213.7,151.9,34.8
498,RO,210.6,150.4,52.1
499,CO,207.6,146.0,28.1
500,RO,199.9,148.7,61.0
501,RO,217.6,135.2,46.3
502,RO,219.1,137.9,30.2
503,CO,220.7,143.6,19.7
504,CO,223.4,120.7,33.1
505,CO,221.9,115.8,22.8
506,RO,225.2,132.6,29.1
507,RO,221.6,132.4,36.2
508,RO,211.2,124.1,31.0
509,RO,207.4,117.8,40.9
510,CO,218.8,122.5,28.6
511,CO,214.6,116.7,36.1
512,RO,213.1,113.7,24.3
513,RO,206.5,108.5,42.2
514,CO,199.6,107.9,10.2
515,CO,194.2,111.3,47.3
516,CO,195.1,114.6,50.2
517,RO,190.5,108.8,54.1
518,RO,193.5,105.8,39.5
519,CO,190.8,104.2,43.3
520,CO,180.7,105.9,38.9
521,RO,183.6,90.8,58.6
522,RO,183.2,90.8,48.8
523,RO,193.1,101.2,56.1
524,CO,199.3,99.1,29.0
525,CO,191.4,94.2,47.1
526,CO,202.1,98.6,52.6
527,RO,203.6,100.3,16.8
528,CO,221.1,103.6,27.1
529,CO,220.4,103.5,30.7
530,CO,218.2,113.4,20.1
531,CO,221.6,112.6,35.1
532,CO,219.5,106.7,30.5
533,RO,222.2,103.6,40.4
534,RO,220.7,99.7,42.6
535,WO,220.4,99.7,5.5
536,RO,220.7,101.0,5.4
537,WO,224.3,100.6,23.0
538,CO,217.6,97.8,29.8
539,CO,217.3,97.2,32.2
540,CO,217.0,99.5,25.3
541,RO,202.4,92.4,31.2
542,RO,208.8,96.3,15.5
543,RO,218.1,90.7,41.4
544,RO,213.2,90.2,32.2
545,RO,210.6,86.0,30.7
546,CO,202.7,82.6,31.5
547,CO,200.3,84.7,19.2
548,RO,213.2,76.7,44.4
549,RO,210.0,77.6,34.6
550,RO,219.9,84.7,32.9
551,RO,220.8,86.6,29.9
552,RO,225.4,83.1,36.3
553,RO,226.0,83.5,34.5
554,CO,176.2,76.2,25.9
555,RO,220.2,82.3,22.1
556,RO,225.4,87.5,23.1
557,RO,222.0,93.6,14.8
558,CO,176.3,76.2,19.4
559,RO,165.2,74.1,40.5
560,RO,160.0,79.7,47.2
561,RO,156.1,93.4,45.3
562,RO,163.4,81.4,35.1
563,RO,165.5,86.9,30.8
564,RO,170.4,86.0,58.8
565,RO,178.0,86.9,24.2
566,RO,178.0,83.8,32.9
567,CO,175.9,80.5,11.9
568,RO,170.7,96.9,53.5
569,RO,177.1,96.0,39.0
570,RO,171.6,105.9,52.5
571,RO,163.1,92.7,34.5
572,CO,162.8,91.6,10.3
573,CO,163.4,91.9,7.6
574,RO,163.5,105.2,75.3
575,CO,167.9,109.0,18.9
576,RO,173.7,108.4,28.6
577,CO,170.4,116.3,23.8
578,RO,167.9,114.5,34.8
579,CO,165.8,116.0,27.4
580,RO,157.0,110.0,34.3
581,CO,157.6,121.8,24.8
582,CO,164.6,125.9,22.6
583,RO,165.5,127.6,42.0
584,CO,169.2,125.1,38.5
585,CO,175.3,116.0,31.9
586,RO,176.2,114.6,32.8
587,CO,165.5,114.9,22.2
588,RO,186.8,119.2,36.9
589,CO,186.5,127.3,31.2
590,RO,185.6,132.9,48.2
591,RO,179.8,126.2,48.6
592,CO,178.6,123.6,43.4
593,CO,179.5,120.4,36.7
594,CO,179.5,120.9,41.3
595,RO,174.6,132.4,40.2
596,CO,175.3,129.7,16.1
597,RO,177.7,135.3,40.8
598,RO,174.6,139.6,43.6
599,RO,164.0,140.2,32.6
600,RO,163.4,143.1,54.6
601,RO,154.8,142.6,29.2
602,RO,157.6,148.0,36.4
603,RO,164.6,147.2,44.4
604,RO,171.9,148.1,33.1
605,RO,172.5,148.1,39.8
606,WO,177.8,140.5,33.0
607,WO,178.9,148.1,38.2
608,RO,184.4,140.5,33.6
609,RO,187.5,144.5,35.3
610,RO,153.5,89.5,40.7
611,RO,226.5,110.9,30.4
612,CO,226.8,115.2,23.8
613,RO,226.8,118.6,51.2
614,RO,226.5,80.5,33.5
615,O,229.4,81.1,20
616,CO,227.1,139.9,35.3
617,WO,228.6,76.2,20
618,RO,296.6,88.1,55.3
619,CO,284.1,92.0,47.1
620,CO,282.2,85.8,38.7
621,CO,287.1,86.7,50.3
622,RO,268.8,86.1,28.2
623,CO,265.0,89.5,50.4
624,CO,259.5,84.9,7.2
625,RO,262.7,84.4,6.4
626,CO,259.4,84.4,9.7
627,CO,259.1,85.0,8.4
628,RO,237.9,84.9,9.5
629,RO,255.7,81.5,57.5
630,CO,248.6,81.4,41.5
631,CO,248.4,81.4,35.0
632,CO,245.4,82.9,26.8
633,RO,240.2,82.0,11.8
634,RO,237.7,81.1,19.2
635,RO,237.4,82.0,28.9
636,RO,235.0,79.2,34.1
637,RO,232.9,88.2,25.7
638,CO,233.8,88.2,20.7
639,WO,233.3,92.2,11.3
640,RO,235.8,89.9,57.3
641,CO,236.7,87.2,24.8
642,CO,231.6,97.2,34.4
643,CO,230.7,94.6,7.0
644,CO,230.7,94.2,5.9
645,CO,230.0,99.8,16.2
646,CO,230.4,103.8,25.5
647,WO,237.1,96.3,30.4
648,CO,239.6,90.4,26.7
649,RO,246.9,86.6,5.4
650,CO,248.7,89.9,14.5
651,CO,248.9,92.0,20
652,CO,248.7,96.3,44.3
653,RO,251.8,98.1,10.3
654,CO,255.7,99.8,39.5
655,CO,252.7,102.1,13.9
656,RO,253.4,103.6,14.1
657,CO,253.6,102.9,11.6
658,CO,258.8,98.8,9.8
659,CO,257.6,81.5,9.3
660,CO,258.9,96.0,9.2
661,CO,256.8,96.5,41.5
662,RO,260.6,92.0,11.0
663,RO,260.6,91.4,9.9
664,RO,265.0,93.0,13.0
665,RO,265.0,93.4,14.7
666,CO,268.2,92.7,28.8
667,RO,270.7,94.5,9.4
668,CO,228.6,76.2,3.1
669,CO,276.8,97.4,51.6
670,RO,279.2,99.4,20
671,RO,283.5,99.2,7.6
672,CO,286.4,99.4,6.0
673,RO,283.5,97.5,8.6
674,CO,289.3,93.4,43.0
675,CO,293.2,90.5,22.2
676,CO,228.6,76.2,20
677,CO,247.5,121.3,39.7
678,RO,286.8,117.3,10.6
679,CO,241.7,121.3,39.3
680,RO,304.6,101.6,31.8
681,CO,304.6,102.6,5.7
682,CO,304.6,102.6,6.5
683,CO,297.6,100.1,7.8
684,CO,293.2,106.7,45.2
685,CO,290.5,102.4,5.7
686,CO,285.0,110.6,14.3
687,RO,279.8,110.2,11.6
688,RO,279.7,109.6,16.4
689,RO,279.7,109.6,14.4
690,CO,279.8,106.1,3.3
691,RO,279.2,102.9,7.4
692,RO,228.6,76.2,20
693,RO,275.2,105.5,7.7
694,RO,273.3,96.0,6.1
695,RO,273.3,96.0,8.1
696,RO,270.5,97.5,7.8
697,RO,270.4,97.7,9.3
698,CO,267.0,101.6,39.1
699,RO,271.3,103.3,13.1
700,RO,263.5,104.7,12.6
701,RO,228.6,76.2,20
702,CO,260.6,103.6,10.7
703,CO,261.8,106.2,50.3
704,RO,258.5,109.4,3.3
705,CO,257.7,106.1,4.3
706,CO,255.7,107.9,10.4
707,RO,252.1,103.6,8.6
708,RO,228.6,76.2,20
709,RO,239.6,107.6,15.2
710,RO,241.4,102.7,12.2
711,RO,241.4,102.1,10.4
712,RO,238.7,100.6,20.5
713,RO,235.3,100.9,6.7
714,WO,241.1,103.9,14.5
715,RO,228.6,76.2,8.2
716,CO,231.5,116.1,30.0
717,CO,231.5,115.8,29.1
718,RO,234.4,114.1,39.3
719,CO,238.7,110.9,32.6
720,RO,239.9,114.6,8.8
721,CO,237.9,115.2,4.9
722,WO,240.5,116.0,10.2
723,RO,241.7,112.8,9.3
724,RO,244.0,111.4,7.6
725,RO,246.9,107.6,5.4
726,RO,236.8,112.6,4.6
727,CO,250.4,114.9,6.7
728,RO,252.7,115.2,5.3
729,RO,252.7,112.9,10.5
730,RO,255.3,111.3,6.4
731,RO,255.3,111.3,9.1
732,RO,257.1,110.9,14.5
733,CO,255.4,112.8,54.4
734,RO,258.8,110.6,7.6
735,RO,262.1,110.9,11.2
736,RO,264.9,110.6,7.0
737,CO,267.6,111.3,22.0
738,CO,270.1,110.9,7.5
739,CO,270.7,107.3,35.7
740,RO,271.7,108.8,13.2
741,CO,271.6,111.6,12.8
742,CO,277.1,109.7,44.2
743,CO,286.4,114.6,9.0
744,RO,289.6,111.6,40.6
745,RO,273.7,113.7,23.0
746,RO,259.4,116.4,7.6
747,CO,255.4,118.3,32.6
748,RO,255.7,115.8,9.9
749,RO,297.5,121.9,5.4
750,RO,255.4,115.8,4.0
751,RO,228.6,76.2,15.0
752,RO,260.3,116.4,13.4
753,CO,267.9,114.9,15.8
754,RO,228.6,76.2,20
755,RO,228.6,76.2,20
756,RO,297.2,113.1,14.9
757,RO,297.5,121.9,5.2
758,CO,291.7,111.7,6.4
759,CO,292.6,111.7,9.3
760,RO,286.5,117.3,16.5
761,RO,276.9,112.5,21.2
762,CO,247.6,121.0,37.5
763,RO,253.0,123.7,10.5
764,RO,242.3,122.2,7.2
765,CO,233.8,125.9,24.8
766,RO,239.6,133.3,38.2
767,RO,240.3,132.3,9.9
768,RO,240.5,132.7,6.7
769,CO,245.7,125.6,23.6
770,CO,257.6,130.3,58.2
771,RO,259.7,129.4,7.4
772,CO,263.0,128.2,50.8
773,RO,267.9,125.7,11.4
774,CO,270.4,127.3,36.0
775,CO,274.9,125.9,43.3
776,RO,276.5,124.7,6.1
777,RO,277.8,125.9,12.3
778,RO,279.5,121.3,12.2
779,CO,228.6,76.2,20
780,CO,285.9,129.5,52.7
781,RO,290.5,132.3,4.7
782,CO,286.8,133.0,37.9
783,CO,283.2,129.4,3.2
784,CO,281.6,127.1,42.6
785,RO,277.7,126.6,9.4
786,CO,281.5,134.1,35.5
787,RO,275.2,127.7,6.1
788,RO,275.1,127.7,8.3
789,RO,271.6,134.6,38.4
790,RO,271.9,137.2,6.4
791,CO,269.4,136.2,10.5
792,RO,268.2,131.2,11.3
793,CO,264.0,134.7,9.1
794,CO,265.5,141.1,38.0
795,RO,258.8,140.4,13.9
796,CO,258.8,142.5,34.3
797,CO,254.8,141.3,6.1
798,CO,253.9,137.9,5.2
799,CO,247.8,134.6,5.1
800,CO,248.4,139.0,45.1
801,RO,241.7,136.2,21.7
802,CO,239.3,141.1,5.0
803,RO,229.2,139.7,50.2
804,CO,231.0,144.8,28.7
805,CO,235.3,142.9,26.0
806,RO,235.3,147.2,25.5
807,CO,237.7,145.8,21.4
808,RO,238.4,150.0,20
809,CO,242.9,150.9,32.1
810,RO,246.7,143.9,4.0
811,RO,250.8,143.6,44.4
812,CO,251.0,143.6,6.7
813,RO,252.4,153.2,43.7
814,CO,255.4,149.7,5.3
815,CO,261.5,153.0,41.9
816,CO,264.3,144.8,32.3
817,CO,265.2,148.1,4.1
818,CO,270.8,142.8,36.3
819,CO,268.2,149.2,52.9
820,RO,275.2,117.5,53.2
821,CO,278.9,143.6,16.7
822,CO,278.9,149.7,13.0
823,CO,279.5,152.7,3.9
